# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.208196778621103640e+00 -2.520058428800242609e+02 -2.326505770041637220e+02 -3.373436272956639215e+01 -2.326505770041621872e+02 -2.003563621606832612e+02 5.484212837066426260e+01 -3.373436272956688953e+01 5.484212837066557000e+01 3.401314977748533863e+01
-4.155824614524274985e+00 -2.335495257359648349e+02 -2.254650115493834619e+02 -3.404958477728807509e+01 -2.254650115493819271e+02 -2.160939525870469708e+02 5.430125408005239507e+01 -3.404958477728855826e+01 5.430125408005365273e+01 3.058713790673459698e+01
-4.103452450427446330e+00 -1.985911878805189588e+02 -2.114974280683769621e+02 -3.435181044583170973e+01 -2.114974280683753420e+02 -2.420981401813838261e+02 5.325373302322915237e+01 -3.435181044583217869e+01 5.325373302323031766e+01 2.390505611273882280e+01
-4.051080286330618563e+00 -1.510006649408163639e+02 -1.915339423134003027e+02 -3.415939998978673486e+01 -1.915339423133986259e+02 -2.694857091729380159e+02 5.173890502450787920e+01 -3.415939998978718961e+01 5.173890502450894502e+01 1.435675376270836523e+01
-3.998708122233789908e+00 -9.611652013832531338e+01 -1.665018705220335562e+02 -3.308855073664869906e+01 -1.665018705220317088e+02 -2.893187312398282529e+02 4.975081559602853076e+01 -3.308855073664915381e+01 4.975081559602950421e+01 2.599648333899525099e+00
-3.946335958136961253e+00 -4.044459485079405425e+01 -1.373953569797339185e+02 -3.106073215844852342e+01 -1.373953569797320711e+02 -2.956357027559841413e+02 4.717755280507299176e+01 -3.106073215844899593e+01 4.717755280507387994e+01 -1.049416846646315093e+01
-3.893963794040132598e+00 9.049403639273606359e+00 -1.051886040610480819e+02 -2.836981839977351783e+01 -1.051886040610462771e+02 -2.873277210705908828e+02 4.374888531092230437e+01 -2.836981839977401876e+01 4.374888531092312149e+01 -2.395620437126234137e+01
-3.841591629943303943e+00 4.593476780516853353e+01 -7.088972638873107712e+01 -2.556730012268295127e+01 -7.088972638872932919e+01 -2.676847128655756478e+02 3.905642611054560120e+01 -2.556730012268348773e+01 3.905642611054636859e+01 -3.691502676917059489e+01
-3.789219465846475288e+00 6.496799666400463025e+01 -3.571198482787525563e+01 -2.321558997321707807e+01 -3.571198482787355744e+01 -2.427255836679366041e+02 3.263791487938668467e+01 -2.321558997321765716e+01 3.263791487938740943e+01 -4.867627856001326592e+01
-3.736847301749647521e+00 6.311176363145418122e+01 -1.283220717320109117e+00 -2.160595259417173608e+01 -1.283220717318535264e+00 -2.184593011887663749e+02 2.416491933146344806e+01 -2.160595259417234715e+01 2.416491933146412663e+01 -5.867073107711043178e+01
-3.692237568826409522e+00 3.994387148376994645e+01 3.017642206730779009e+01 -2.056495052541256996e+01 3.017642206730924315e+01 -1.987610048479471629e+02 1.366469212643854192e+01 -2.056495052541317747e+01 1.366469212643916364e+01 -6.628694973225837828e+01
-3.639865404729580867e+00 -2.162580236107800147e+00 5.586576416574255433e+01 -1.944235805005529016e+01 5.586576416574389725e+01 -1.842846233763426369e+02 1.689776925916717687e+00 -1.944235805005587636e+01 1.689776925917252370e+00 -7.067501984647722679e+01
-3.587493240632752212e+00 -5.816901780445205361e+01 7.278893374448742293e+01 -1.729350798823028867e+01 7.278893374448861664e+01 -1.724623797783592920e+02 -1.065446383072880998e+01 -1.729350798823080737e+01 -1.065446383072839076e+01 -7.068579543832069589e+01
-3.535121076535923557e+00 -1.212377944010622741e+02 7.798853171537976436e+01 -1.320002994126017093e+01 7.798853171538083018e+01 -1.587638949858479691e+02 -2.183846494481219480e+01 -1.320002994126058304e+01 -2.183846494481191058e+01 -6.502986225316185198e+01
-3.482748912439094902e+00 -1.836842966183629358e+02 6.924080813088774278e+01 -6.606187871002262568e+00 6.924080813088872333e+01 -1.380829147427452313e+02 -3.020468803697252014e+01 -6.606187871002557443e+00 -3.020468803697238513e+01 -5.262910216157216325e+01
-3.430376748342267135e+00 -2.383978390389907247e+02 4.541610848120846811e+01 2.458393274935771089e+00 4.541610848120934207e+01 -1.063933016131125129e+02 -3.432507571723575523e+01 2.458393274935628980e+00 -3.432507571723576234e+01 -3.308634190729715385e+01
-3.378004584245438480e+00 -2.800528544508417781e+02 6.844762882857629904e+00 1.336763801623185621e+01 6.844762882858443476e+00 -6.142441237458906755e+01 -3.334541934898220461e+01 1.336763801623189352e+01 -3.334541934898236804e+01 -7.033741845524641434e+00
-3.325632420148609825e+00 -3.060740206565894255e+02 -4.451598532232712557e+01 2.508052351144417713e+01 -4.451598532232638661e+01 -3.397567217877096368e+00 -2.715096875087002815e+01 2.508052351144440451e+01 -2.715096875087030526e+01 2.376602569334606940e+01
-3.273260256051781170e+00 -3.168325334674160558e+02 -1.051616315911434185e+02 3.650283194812166698e+01 -1.051616315911427364e+02 6.549817843467556600e+01 -1.631754754188328604e+01 3.650283194812210752e+01 -1.631754754188363066e+01 5.666763662801919565e+01
-3.220888091954952515e+00 -3.154633381681786659e+02 -1.702089119906262340e+02 4.685978646815116377e+01 -1.702089119906256371e+02 1.412477537554518960e+02 -1.879960052634899625e+00 4.685978646815181747e+01 -1.879960052635274437e+00 8.865954215583859366e+01
-3.168515927858124304e+00 -3.069028111039455666e+02 -2.339688263615723258e+02 5.588545478875964534e+01 -2.339688263615717290e+02 2.186483707340573801e+02 1.505640077644275543e+01 5.588545478876049799e+01 1.505640077644240904e+01 1.169693709723043753e+02
-3.116143763761296093e+00 -2.965540544242290935e+02 -2.906495167665490271e+02 6.384199370457573508e+01 -2.906495167665484587e+02 2.918410948053970060e+02 3.361858890286096369e+01 6.384199370457677958e+01 3.361858890286068657e+01 1.395769131712447972e+02
-3.063771599664467438e+00 -2.892179175001824660e+02 -3.351647841913044203e+02 7.133901351521319611e+01 -3.351647841913038519e+02 3.548521947335351570e+02 5.333233573617283696e+01 7.133901351521440404e+01 5.333233573617265222e+01 1.554156187607629818e+02
-3.011399435567638783e+00 -2.879169538532134993e+02 -3.638561490938200222e+02 7.904280487297090474e+01 -3.638561490938194538e+02 4.023073071953986641e+02 7.402007584044224586e+01 7.904280487297221214e+01 7.402007584044216060e+01 1.642791895901462738e+02
-2.959027271470810128e+00 -2.935731846552281468e+02 -3.752576718954214812e+02 8.743151103589029560e+01 -3.752576718954210264e+02 4.300531596073407172e+02 9.553500412188444102e+01 8.743151103589163142e+01 9.553500412188444102e+01 1.665413792045741559e+02
-2.906655107373981473e+00 -3.049233511765674507e+02 -3.701395214554693212e+02 9.670609805509766943e+01 -3.701395214554688664e+02 4.361217295738292137e+02 1.174181069060185365e+02 9.670609805509897683e+01 1.174181069060186076e+02 1.628485029121599155e+02
-2.854282943277153706e+00 -3.191757274093742467e+02 -3.514026437040283781e+02 1.068659212086775483e+02 -3.514026437040280371e+02 4.209320991381631529e+02 1.386866039335408800e+02 1.068659212086787136e+02 1.386866039335409937e+02 1.539877386622895301e+02
-2.801910779180325051e+00 -3.325217481842429379e+02 -3.232730355761243004e+02 1.178673866680578044e+02 -3.232730355761240730e+02 3.876024355886685271e+02 1.578675017750355494e+02 1.178673866680587992e+02 1.578675017750356915e+02 1.409089553606458196e+02
-2.749538615083496396e+00 -3.411479430576139862e+02 -2.905822690671782880e+02 1.297905552938192386e+02 -2.905822690671781743e+02 3.412906374259363815e+02 1.732848380965150454e+02 1.297905552938200060e+02 1.732848380965152160e+02 1.249006570747495459e+02
-2.697166450986667741e+00 -3.415436507860291044e+02 -2.575644282215343424e+02 1.428712150699355448e+02 -2.575644282215342855e+02 2.883181221397958893e+02 1.835116406647498764e+02 1.428712150699360564e+02 1.835116406647500753e+02 1.076725564439073821e+02
