# z	Sxx	Sxy	Sxz	Syx	Syy	Syz	Szx	Szy	Szz
-4.596420006733743513e+00 -2.106372054833539949e+02 -2.835527526357351391e+01 -1.236616037152890897e+02 -2.835527526357434525e+01 -3.826463039054037552e+01 -4.221819882638681065e+01 -1.236616037152889191e+02 -4.221819882638691013e+01 2.081694416849944105e+02
-4.543576567200408256e+00 -2.071744011612979648e+02 -3.119282564701671134e+01 -1.231977435892872705e+02 -3.119282564701758531e+01 -4.682863429345043471e+01 -4.062484707512739135e+01 -1.231977435892871142e+02 -4.062484707512746240e+01 2.004352313521116571e+02
-4.490733127667072999e+00 -1.998200497976429233e+02 -3.570038788888869874e+01 -1.221148739322028405e+02 -3.570038788888969350e+01 -6.133014233663207904e+01 -3.785283175434523173e+01 -1.221148739322026984e+02 -3.785283175434526015e+01 1.858619130815374660e+02
-4.437889688133735966e+00 -1.878834627979472884e+02 -3.994947521349178032e+01 -1.201189291619415656e+02 -3.994947521349289588e+01 -7.722420050955764736e+01 -3.457250875065540896e+01 -1.201189291619414092e+02 -3.457250875065537343e+01 1.660868837642366600e+02
-4.385046248600400709e+00 -1.707964027166322012e+02 -4.187002799303643030e+01 -1.168056913121890403e+02 -4.187002799303765244e+01 -8.930248789304197032e+01 -3.142277453440843260e+01 -1.168056913121889124e+02 -3.142277453440833668e+01 1.432274824734228389e+02
-4.332202809067063676e+00 -1.482947740702912824e+02 -3.991306817925423900e+01 -1.117203305163249922e+02 -3.991306817925551798e+01 -9.287804581549929139e+01 -2.874413476242641607e+01 -1.117203305163248785e+02 -2.874413476242626686e+01 1.195963246214146807e+02
-4.279359369533728419e+00 -1.205791936090703160e+02 -3.345277549921082993e+01 -1.044512616716124285e+02 -3.345277549921210891e+01 -8.468389823295574104e+01 -2.642325428287819022e+01 -1.044512616716123290e+02 -2.642325428287798772e+01 9.743488099757979626e+01
-4.226515930000392274e+00 -8.832728301323322739e+01 -2.291169498351875689e+01 -9.473936782940921830e+01 -2.291169498351990796e+01 -6.336506648492228067e+01 -2.390208508606453819e+01 -9.473936782940914725e+01 -2.390208508606430371e+01 7.870516168385793776e+01
-4.173672490467056129e+00 -5.249806222858462235e+01 -9.553852115766872544e+00 -8.259198194395651171e+01 -9.553852115767853093e+00 -2.944968723339014360e+01 -2.035108652017647657e+01 -8.259198194395649750e+01 -2.035108652017622788e+01 6.492508481094914430e+01
-4.120829050933720872e+00 -1.435659252965279720e+01 4.734814098115428749e+00 -6.835511871804253303e+01 4.734814098114675573e+00 1.501099221266307282e+01 -1.494604253756378043e+01 -6.835511871804257567e+01 -1.494604253756353351e+01 5.705047633576685939e+01
